timestamp,gt_x_mm,gt_y_mm,gt_z_mm,target_id,raw_x_mm,raw_y_mm,raw_z_mm,cal_x_mm,cal_y_mm,cal_z_mm
1781219288.0517266,0.0,0.0,500.0,6,28,60,893,26,56,833
1781219288.1066802,0.0,0.0,500.0,6,28,58,896,26,54,836
1781219288.1512344,0.0,0.0,500.0,6,28,55,894,26,52,835
1781219288.2015145,0.0,0.0,500.0,6,31,56,896,29,53,836
1781219288.2552474,0.0,0.0,500.0,6,31,58,896,29,54,836
1781219288.3106222,0.0,0.0,500.0,6,33,57,898,31,53,838
1781219288.3559525,0.0,0.0,500.0,6,34,56,896,32,53,836
1781219288.407551,0.0,0.0,500.0,6,37,55,895,34,52,836
1781219288.4581964,0.0,0.0,500.0,6,39,59,896,36,55,836
1781219288.5112174,0.0,0.0,500.0,6,40,58,898,38,54,838
1781219288.5600424,0.0,0.0,500.0,6,41,60,898,39,56,838
1781219288.609277,0.0,0.0,500.0,6,41,58,897,39,54,837
1781219288.6587696,0.0,0.0,500.0,6,41,60,896,39,56,836
1781219288.7130606,0.0,0.0,500.0,6,41,65,897,39,60,837
1781219288.7577393,0.0,0.0,500.0,6,41,67,896,39,63,836
1781219288.8105772,0.0,0.0,500.0,6,48,75,896,45,70,836
1781219288.861515,0.0,0.0,500.0,6,52,81,897,48,76,837
1781219288.9142635,0.0,0.0,500.0,6,54,82,897,51,77,837
1781219288.966398,0.0,0.0,500.0,6,54,88,898,51,83,838
1781219289.014693,0.0,0.0,500.0,6,52,89,895,48,83,836
1781219289.065408,0.0,0.0,500.0,6,51,92,897,47,86,837
1781219289.116896,0.0,0.0,500.0,6,48,89,895,45,83,836
1781219289.1687117,0.0,0.0,500.0,6,58,90,898,54,84,838
1781219289.2184548,0.0,0.0,500.0,6,66,85,903,62,80,843
1781219289.271402,0.0,0.0,500.0,6,76,89,904,71,83,844
1781219289.3228235,0.0,0.0,500.0,6,74,89,903,69,83,843
1781219289.3727963,0.0,0.0,500.0,6,70,88,901,65,82,841
1781219289.4198625,0.0,0.0,500.0,6,75,91,907,70,84,846
1781219289.4758382,0.0,0.0,500.0,6,74,89,908,69,83,847
1781219289.520449,0.0,0.0,500.0,6,74,89,906,69,83,846
1781219289.5764763,0.0,0.0,500.0,6,74,90,906,69,84,846
