timestamp,gt_x_mm,gt_y_mm,gt_z_mm,target_id,raw_x_mm,raw_y_mm,raw_z_mm,cal_x_mm,cal_y_mm,cal_z_mm
1781644518.5086238,0.0,0.0,1000.0,2,-158,-3,414,-147,-3,386
1781644518.7104118,0.0,0.0,1000.0,0,42,-2,393,39,-2,366
1781644518.7708673,0.0,0.0,1000.0,0,13,-3,397,12,-2,369
1781644518.8179185,0.0,0.0,1000.0,0,-16,-3,388,-15,-2,360
1781644518.879954,0.0,0.0,1000.0,0,-22,-2,352,-20,-2,325
1781644518.922902,0.0,0.0,1000.0,0,-17,-3,415,-16,-3,388
1781644518.9800074,0.0,0.0,1000.0,0,-32,-2,408,-29,-1,380
1781644519.022038,0.0,0.0,1000.0,0,-45,-1,408,-42,-1,380
1781644519.0800972,0.0,0.0,1000.0,0,-48,-1,410,-45,-1,383
1781644519.1240396,0.0,0.0,1000.0,0,-65,-2,421,-60,-2,394
1781644519.1805837,0.0,0.0,1000.0,0,-41,-1,423,-38,-1,396
1781644519.2229977,0.0,0.0,1000.0,0,-43,-2,432,-40,-2,405
1781644519.2745135,0.0,0.0,1000.0,0,-51,-2,437,-48,-2,409
1781644519.3330746,0.0,0.0,1000.0,0,-1,-2,444,0,-2,417
1781644519.3801706,0.0,0.0,1000.0,0,-20,-4,454,-19,-4,426
1781644519.423671,0.0,0.0,1000.0,0,53,-2,464,50,-2,437
1781644519.484062,0.0,0.0,1000.0,0,33,-1,459,31,-1,431
1781644519.5287147,0.0,0.0,1000.0,0,-37,-2,452,-35,-2,424
1781644519.6238322,0.0,0.0,1000.0,0,-25,-4,451,-23,-3,423
1781644519.6789389,0.0,0.0,1000.0,0,-39,-2,452,-37,-2,424
1781644519.722951,0.0,0.0,1000.0,0,45,-3,445,42,-3,418
1781644520.600832,0.0,0.0,1000.0,0,-31,0,435,-29,0,407
1781644520.6538904,0.0,0.0,1000.0,0,-30,1,436,-28,1,408
1781644520.7531085,0.0,0.0,1000.0,0,-13,-1,439,-12,-1,411
1781644520.807628,0.0,0.0,1000.0,0,-21,-1,443,-20,-1,416
1781644520.9580414,0.0,0.0,1000.0,3,-6,-2,440,-5,-2,412
1781644521.0592716,0.0,0.0,1000.0,3,2,-5,432,2,-4,405
1781644521.1608179,0.0,0.0,1000.0,3,1,-3,410,1,-2,383
1781644521.216236,0.0,0.0,1000.0,3,1,-3,464,1,-3,437
1781644521.3653324,0.0,0.0,1000.0,3,55,-1,456,52,-1,429
1781644521.4193335,0.0,0.0,1000.0,3,55,-1,453,52,-1,426
1781644521.4654324,0.0,0.0,1000.0,3,89,-1,455,84,-1,427
1781644521.5761287,0.0,0.0,1000.0,3,88,-1,450,83,-1,423
1781644521.6203997,0.0,0.0,1000.0,3,88,-1,446,82,-1,419
1781644521.671965,0.0,0.0,1000.0,3,87,-2,441,81,-2,413
1781644521.7215269,0.0,0.0,1000.0,3,86,-1,438,81,-1,410
1781644521.796531,0.0,0.0,1000.0,3,83,-1,426,77,-1,399
1781644521.8811252,0.0,0.0,1000.0,3,73,-1,414,68,-1,386
1781644521.9262006,0.0,0.0,1000.0,3,64,0,408,59,0,380
1781644521.9826005,0.0,0.0,1000.0,3,60,-1,399,56,-1,371
1781644522.0286553,0.0,0.0,1000.0,3,17,-1,369,16,-1,341
1781644522.0753233,0.0,0.0,1000.0,3,12,-1,353,11,-1,325
1781644522.1249604,0.0,0.0,1000.0,3,0,-1,341,0,-1,314
1781644522.172428,0.0,0.0,1000.0,3,-4,-1,343,-4,-1,315
1781644522.2218418,0.0,0.0,1000.0,3,-17,0,327,-15,0,299
1781644522.2836032,0.0,0.0,1000.0,3,-20,-1,338,-18,-1,311
1781644522.3302574,0.0,0.0,1000.0,3,-25,-1,335,-23,-1,307
1781644522.377952,0.0,0.0,1000.0,3,-16,0,333,-14,0,305
1781644522.4224367,0.0,0.0,1000.0,3,-15,0,336,-14,0,309
1781644522.4852633,0.0,0.0,1000.0,3,-14,-1,335,-13,-1,307
1781644522.5386531,0.0,0.0,1000.0,3,-16,-1,333,-14,-1,305
1781644522.5898798,0.0,0.0,1000.0,3,-15,-1,331,-14,-1,304
1781644522.6427383,0.0,0.0,1000.0,3,-19,0,330,-17,0,303
1781644522.6879606,0.0,0.0,1000.0,3,-30,-1,324,-28,-1,296
1781644522.7389183,0.0,0.0,1000.0,3,-33,-1,317,-30,-1,290
1781644522.7997108,0.0,0.0,1000.0,3,-52,-3,315,-48,-3,288
1781644522.8466566,0.0,0.0,1000.0,3,-55,-1,315,-50,-1,288
1781644523.9564974,0.0,0.0,1000.0,3,-71,-1,328,-65,-1,300
1781644524.5227203,0.0,0.0,1000.0,3,-67,-2,364,-62,-2,336
1781644524.6822634,0.0,0.0,1000.0,3,-35,-1,368,-33,-1,341
1781644524.781342,0.0,0.0,1000.0,3,-35,-2,378,-33,-2,351
1781644524.8233414,0.0,0.0,1000.0,3,-34,-2,373,-32,-2,346
1781644524.8803613,0.0,0.0,1000.0,3,-40,-2,374,-37,-2,347
1781644524.9225035,0.0,0.0,1000.0,3,-41,-2,375,-38,-2,348
1781644524.981244,0.0,0.0,1000.0,3,-43,-2,377,-39,-2,349
1781644525.0328977,0.0,0.0,1000.0,3,-44,-1,378,-41,-1,351
1781644525.0862691,0.0,0.0,1000.0,3,-37,-1,378,-34,-1,351
1781644525.141879,0.0,0.0,1000.0,3,-35,-2,380,-32,-2,352
1781644525.1879888,0.0,0.0,1000.0,3,-28,-1,374,-26,-1,347
1781644525.2379117,0.0,0.0,1000.0,3,-25,-1,374,-23,-1,347
1781644525.2875533,0.0,0.0,1000.0,3,-10,-2,407,-9,-2,380
1781644525.3455813,0.0,0.0,1000.0,3,-10,-2,418,-9,-2,391
1781644525.3885858,0.0,0.0,1000.0,3,-8,-3,427,-7,-3,400
1781644525.4443946,0.0,0.0,1000.0,3,-8,-2,437,-7,-2,409
1781644525.4896853,0.0,0.0,1000.0,3,-8,-3,421,-7,-3,394
1781644525.545461,0.0,0.0,1000.0,3,-15,-2,433,-14,-2,405
1781644525.5894482,0.0,0.0,1000.0,3,-25,-2,399,-23,-2,371
1781644525.6451564,0.0,0.0,1000.0,3,-27,-3,406,-25,-2,379
1781644525.6892,0.0,0.0,1000.0,3,-30,-2,396,-28,-2,368
1781644525.7892792,0.0,0.0,1000.0,3,-32,-2,392,-30,-2,364
1781644525.8493764,0.0,0.0,1000.0,3,-34,-2,392,-32,-1,364
1781644525.8956058,0.0,0.0,1000.0,3,-36,-2,400,-34,-1,372
1781644525.947716,0.0,0.0,1000.0,3,-37,-2,395,-35,-1,367
1781644525.989635,0.0,0.0,1000.0,3,-38,-2,398,-35,-1,370
1781644526.0520368,0.0,0.0,1000.0,3,-40,-2,403,-37,-2,375
1781644526.10373,0.0,0.0,1000.0,3,-40,-2,395,-37,-2,367
1781644526.1535819,0.0,0.0,1000.0,3,-39,-2,395,-36,-1,367
1781644526.2089581,0.0,0.0,1000.0,3,-37,-2,394,-34,-2,367
1781644526.2538285,0.0,0.0,1000.0,3,-34,-2,416,-32,-2,389
1781644526.311869,0.0,0.0,1000.0,3,-34,-2,449,-32,-2,422
1781644526.3577805,0.0,0.0,1000.0,3,-25,-3,485,-23,-2,457
1781644526.4128354,0.0,0.0,1000.0,3,-25,-3,504,-24,-2,477
