timestamp,gt_x_mm,gt_y_mm,gt_z_mm,target_id,raw_x_mm,raw_y_mm,raw_z_mm,cal_x_mm,cal_y_mm,cal_z_mm
1781652285.6871798,0.0,0.0,1000.0,0,-4,60,1033,-4,56,962
1781652285.737953,0.0,0.0,1000.0,0,-5,60,1033,-5,56,962
1781652285.7879758,0.0,0.0,1000.0,0,-3,58,1034,-2,54,963
1781652285.8374903,0.0,0.0,1000.0,0,-3,57,1033,-2,53,962
1781652285.8945003,0.0,0.0,1000.0,0,0,56,1034,0,52,963
1781652285.9380527,0.0,0.0,1000.0,0,1,56,1034,1,52,963
1781652285.9908876,0.0,0.0,1000.0,0,4,54,1033,4,51,962
1781652286.0449877,0.0,0.0,1000.0,0,1,53,1035,1,49,964
1781652286.0915725,0.0,0.0,1000.0,0,0,52,1035,0,48,964
1781652286.1474717,0.0,0.0,1000.0,0,-3,53,1035,-2,49,964
1781652286.1933548,0.0,0.0,1000.0,0,-7,50,1035,-6,47,964
1781652286.2478223,0.0,0.0,1000.0,0,-7,49,1033,-6,45,962
1781652286.2938406,0.0,0.0,1000.0,0,-8,52,1035,-7,48,964
1781652286.3490956,0.0,0.0,1000.0,0,-11,53,1033,-10,49,962
1781652286.3951087,0.0,0.0,1000.0,0,-9,53,1036,-9,49,965
1781652286.4496229,0.0,0.0,1000.0,0,-8,52,1035,-7,48,964
1781652286.496647,0.0,0.0,1000.0,0,-8,49,1034,-7,46,963
1781652286.5508273,0.0,0.0,1000.0,0,-5,49,1036,-5,46,965
1781652286.5968938,0.0,0.0,1000.0,0,-8,49,1030,-7,45,959
1781652286.6552129,0.0,0.0,1000.0,0,-8,49,1034,-7,46,963
1781652286.701338,0.0,0.0,1000.0,0,-8,49,1031,-7,45,960
1781652286.753104,0.0,0.0,1000.0,0,-8,50,1031,-7,47,960
1781652286.7996724,0.0,0.0,1000.0,0,-8,49,1032,-7,45,961
1781652286.8523679,0.0,0.0,1000.0,0,-8,50,1031,-7,47,960
1781652286.9013593,0.0,0.0,1000.0,0,-8,49,1030,-7,45,959
1781652286.9664335,0.0,0.0,1000.0,0,-8,49,1032,-7,45,961
1781652287.0034425,0.0,0.0,1000.0,0,-9,49,1030,-9,45,959
1781652287.0527332,0.0,0.0,1000.0,0,-11,50,1031,-10,47,960
1781652287.105427,0.0,0.0,1000.0,0,-9,50,1030,-9,47,959
1781652287.154976,0.0,0.0,1000.0,0,-8,51,1029,-7,48,958
1781652287.2050753,0.0,0.0,1000.0,0,-9,50,1030,-9,47,959
1781652287.2572575,0.0,0.0,1000.0,0,-9,50,1030,-9,47,959
1781652287.3084188,0.0,0.0,1000.0,0,-9,50,1027,-9,46,957
1781652287.3574698,0.0,0.0,1000.0,0,-9,50,1029,-9,47,958
1781652287.4090054,0.0,0.0,1000.0,0,-12,50,1027,-11,46,957
1781652287.4600012,0.0,0.0,1000.0,0,-12,51,1027,-11,48,957
1781652287.521528,0.0,0.0,1000.0,0,-15,50,1027,-14,46,957
1781652287.5595255,0.0,0.0,1000.0,0,-15,51,1027,-14,48,957
1781652287.6165953,0.0,0.0,1000.0,0,-15,54,1029,-14,50,958
1781652287.6642544,0.0,0.0,1000.0,0,-17,55,1027,-16,52,957
1781652287.7212274,0.0,0.0,1000.0,0,-15,55,1029,-14,52,958
1781652287.7626336,0.0,0.0,1000.0,0,-15,55,1025,-14,51,955
1781652287.8186438,0.0,0.0,1000.0,0,-17,55,1026,-16,51,956
1781652287.8639235,0.0,0.0,1000.0,0,-20,57,1025,-19,53,955
1781652287.9205701,0.0,0.0,1000.0,0,-17,57,1025,-16,53,955
1781652287.9645233,0.0,0.0,1000.0,0,-16,57,1026,-15,53,956
1781652288.0191274,0.0,0.0,1000.0,0,-16,57,1029,-15,53,958
1781652288.0649335,0.0,0.0,1000.0,0,-16,57,1027,-15,53,957
1781652288.1207762,0.0,0.0,1000.0,0,-16,58,1026,-15,54,956
1781652288.1673536,0.0,0.0,1000.0,0,-19,57,1027,-17,53,957
1781652288.220048,0.0,0.0,1000.0,0,-20,58,1027,-19,54,957
1781652288.2721465,0.0,0.0,1000.0,0,-20,57,1025,-19,53,955
1781652288.3241484,0.0,0.0,1000.0,0,-16,57,1025,-15,53,955
1781652288.3707957,0.0,0.0,1000.0,0,-17,57,1025,-16,53,955
1781652288.4234364,0.0,0.0,1000.0,0,-17,57,1025,-16,53,955
1781652288.4747589,0.0,0.0,1000.0,0,-17,57,1025,-16,53,955
1781652288.524443,0.0,0.0,1000.0,0,-17,58,1024,-16,54,954
1781652288.575131,0.0,0.0,1000.0,0,-20,59,1026,-19,55,956
1781652288.6226695,0.0,0.0,1000.0,0,-24,61,1025,-22,56,955
1781652288.6747024,0.0,0.0,1000.0,0,-23,59,1025,-21,55,955
1781652288.7412138,0.0,0.0,1000.0,0,-24,59,1024,-22,55,954
1781652288.7822165,0.0,0.0,1000.0,0,-20,59,1025,-19,55,955
1781652288.8233674,0.0,0.0,1000.0,0,-23,59,1025,-21,55,955
1781652288.8801985,0.0,0.0,1000.0,0,-23,61,1025,-21,56,955
1781652288.9266396,0.0,0.0,1000.0,0,-21,62,1024,-20,58,954
1781652288.9839752,0.0,0.0,1000.0,0,-23,62,1026,-21,58,956
1781652289.0287936,0.0,0.0,1000.0,0,-25,63,1026,-24,59,956
1781652289.0839818,0.0,0.0,1000.0,0,-25,65,1027,-24,60,957
1781652289.127537,0.0,0.0,1000.0,0,-21,66,1026,-20,61,956
1781652289.1835766,0.0,0.0,1000.0,0,-21,66,1025,-20,61,955
1781652289.2290533,0.0,0.0,1000.0,0,-28,69,1026,-26,64,956
1781652289.2940564,0.0,0.0,1000.0,0,-28,66,1026,-26,61,956
1781652289.3326182,0.0,0.0,1000.0,0,-24,67,1025,-22,63,955
1781652289.3846192,0.0,0.0,1000.0,0,-24,66,1025,-22,61,955
1781652289.4301457,0.0,0.0,1000.0,0,-23,66,1026,-21,61,956
1781652289.4851682,0.0,0.0,1000.0,0,-21,66,1027,-20,62,957
1781652289.5343728,0.0,0.0,1000.0,0,-23,66,1026,-21,61,956
1781652289.58361,0.0,0.0,1000.0,0,-23,66,1026,-21,61,956
1781652289.624367,0.0,0.0,1000.0,0,-20,66,1027,-19,62,957
1781652289.6893055,0.0,0.0,1000.0,0,-21,66,1029,-20,62,958
1781652289.724564,0.0,0.0,1000.0,0,-20,69,1029,-19,64,958
1781652289.7847219,0.0,0.0,1000.0,0,-20,66,1026,-19,61,956
1781652289.82447,0.0,0.0,1000.0,0,-21,67,1027,-20,63,957
1781652289.8750095,0.0,0.0,1000.0,0,-21,67,1026,-20,63,956
1781652289.9247282,0.0,0.0,1000.0,0,-20,69,1026,-19,64,956
